"ASIA PAC EDUC REV","COMPUT HUM BEHAV","13"
"BMC MED INFORM DECIS","COMPUT HUM BEHAV","13"
"EDUC GERONTOL","COMPUT HUM BEHAV","13"
"FRONT PSYCHIATRY","COMPUT HUM BEHAV","13"
"GOV INFORM Q","COMPUT HUM BEHAV","13"
"HUM FACTOR ERGON MAN","COMPUT HUM BEHAV","13"
"INT J IND ERGONOM","COMPUT HUM BEHAV","13"
"J COMPUT HIGH EDUC","COMPUT HUM BEHAV","13"
"J GLOB MARK","COMPUT HUM BEHAV","13"
"J YOUTH STUD","COMPUT HUM BEHAV","13"
"KNOWL-BASED SYST","COMPUT HUM BEHAV","13"
"NANKAI BUS REV NT","COMPUT HUM BEHAV","13"
"QUAL QUANT","COMPUT HUM BEHAV","13"
"REV GEN PSYCHOL","COMPUT HUM BEHAV","13"
"REV LATINOAM TECNOL","COMPUT HUM BEHAV","13"
"TECHNOL PEDAGOG EDUC","COMPUT HUM BEHAV","13"
"VIOLENCE VICTIMS","COMPUT HUM BEHAV","13"
"ADDICT RES THEORY","COMPUT HUM BEHAV","12"
"ANN REV CYBERTHERAPY","COMPUT HUM BEHAV","12"
"APPL ERGON","COMPUT HUM BEHAV","12"
"COMMUN ASSOC INF SYS","COMPUT HUM BEHAV","12"
"IBER CONF INF SYST","COMPUT HUM BEHAV","12"
"INFORM PROCESS MANAG","COMPUT HUM BEHAV","12"
"INT CONF GAMES VIRTU","COMPUT HUM BEHAV","12"
"INT J ELECTRON COMM","COMPUT HUM BEHAV","12"
"INT J HUM RESOUR MAN","COMPUT HUM BEHAV","12"
"INT J PROD RES","COMPUT HUM BEHAV","12"
"J AM MED INFORM ASSN","COMPUT HUM BEHAV","12"
"J GAMING VIRTUAL WOR","COMPUT HUM BEHAV","12"
"J INTERPERS VIOLENCE","COMPUT HUM BEHAV","12"
"J MASS COMMUN Q","COMPUT HUM BEHAV","12"
"J MEDIA PSYCHOL-GER","COMPUT HUM BEHAV","12"
"J SERV MARK","COMPUT HUM BEHAV","12"
"LIBR HI TECH","COMPUT HUM BEHAV","12"
"READ WRIT","COMPUT HUM BEHAV","12"
"SMART INNOV SYST TEC","COMPUT HUM BEHAV","12"
"TEACH TEACH EDUC","COMPUT HUM BEHAV","12"
"2016 IEEE INT C IND","COMPUT HUM BEHAV","11"
"ACM T COMPUT-HUM INT","COMPUT HUM BEHAV","11"
"AEBMR ADV ECON","COMPUT HUM BEHAV","11"
"COGNITION","COMPUT HUM BEHAV","11"
"COMMUN MONOGR","COMPUT HUM BEHAV","11"
"DIS 2016 P 2016 ACM","COMPUT HUM BEHAV","11"
"EDUC PSYCHOL-UK","COMPUT HUM BEHAV","11"
"ENTERTAIN COMPUT","COMPUT HUM BEHAV","11"
"IDP-INTERNET LAW POL","COMPUT HUM BEHAV","11"
"IEEE GLOB ENG EDUC C","COMPUT HUM BEHAV","11"
"IEEE T LEARN TECHNOL","COMPUT HUM BEHAV","11"
"INFORM SYST MANAGE","COMPUT HUM BEHAV","11"
"INT J EDUC INF TECH","COMPUT HUM BEHAV","11"
"INT J INF LEARN TECH","COMPUT HUM BEHAV","11"
"INT J INTERNET SCI","COMPUT HUM BEHAV","11"
"INT J MOB HUM COMPUT","COMPUT HUM BEHAV","11"
"INT J SERIOUS GAMES","COMPUT HUM BEHAV","11"
"INT J TECHNOL ENHANC","COMPUT HUM BEHAV","11"
"INT J TOUR CITIES","COMPUT HUM BEHAV","11"
"J GAMBL STUD","COMPUT HUM BEHAV","11"
"J MED EDUC CURRIC DE","COMPUT HUM BEHAV","11"
"NEW REV HYPERMEDIA M","COMPUT HUM BEHAV","11"
"P 12 INT C WEB INF","COMPUT HUM BEHAV","11"
"P KNOWL MAN INT C","COMPUT HUM BEHAV","11"
"USER MODEL USER-ADAP","COMPUT HUM BEHAV","11"
"2016 IEEE INT C","COMPUT HUM BEHAV","10"
"AER ADV ENG RES","COMPUT HUM BEHAV","10"
"AFR J LIBR ARCH INFO","COMPUT HUM BEHAV","10"
"ANAT SCI EDUC","COMPUT HUM BEHAV","10"
"CAN PUBLIC ADMIN","COMPUT HUM BEHAV","10"
"CHEM EDUC RES PRACT","COMPUT HUM BEHAV","10"
"GAMES CULT","COMPUT HUM BEHAV","10"
"ICM P 18 ACM INT C","COMPUT HUM BEHAV","10"
"INT J LEARN TECHNOL","COMPUT HUM BEHAV","10"
"INTERACT TECHNOL SMA","COMPUT HUM BEHAV","10"
"J AIR TRANSP MANAG","COMPUT HUM BEHAV","10"
"J CHILD FAM STUD","COMPUT HUM BEHAV","10"
"J COMMUN","COMPUT HUM BEHAV","10"
"J DECIS SYST","COMPUT HUM BEHAV","10"
"J GLOB INF TECH MAN","COMPUT HUM BEHAV","10"
"J INF TECHNOL EDUC-R","COMPUT HUM BEHAV","10"
"J LEISURE RES","COMPUT HUM BEHAV","10"
"J PSYCHOL","COMPUT HUM BEHAV","10"
"J SERV THEOR PRACT","COMPUT HUM BEHAV","10"
"L N INST COMP SCI SO","COMPUT HUM BEHAV","10"
"MEDIA PSYCHOL","COMPUT HUM BEHAV","10"
"P 2016 5 IIAI INT C","COMPUT HUM BEHAV","10"
"P 27 ACM C HYP SOC","COMPUT HUM BEHAV","10"
"PIXEL-BIT","COMPUT HUM BEHAV","10"
"PUBLIC RELAT REV","COMPUT HUM BEHAV","10"
"RES AUTISM SPECT DIS","COMPUT HUM BEHAV","10"
"REV COMMUN RES","COMPUT HUM BEHAV","10"
"STRESS HEALTH","COMPUT HUM BEHAV","10"
"TIJDSCHR COMMUNWET","COMPUT HUM BEHAV","10"
"TOTAL QUAL MANAG BUS","COMPUT HUM BEHAV","10"
"11 ACM INT C HUM","COMPUT HUM BEHAV","9"
"ACSR ADV COMPUT","COMPUT HUM BEHAV","9"
"ANN TOURISM RES","COMPUT HUM BEHAV","9"
"ANTHROPOLOGIST","COMPUT HUM BEHAV","9"
"APPL COGNITIVE PSYCH","COMPUT HUM BEHAV","9"
"ASIAN J COMMUN","COMPUT HUM BEHAV","9"
"BMC PEDIATR","COMPUT HUM BEHAV","9"
"CIN-COMPUT INFORM NU","COMPUT HUM BEHAV","9"
